3000;Knock Bits;18;12.67;50015
3001;Widgets;10;35.50;50004
3002;Grommets;20;23.45;50001
3003;Wedges;15;10.15;50020
3004;Wing Bats;11;11.25;50003
3005;Twinkies;75;15.75;50012
3006;Wiggles;30;12.34;50020
3007;Bing Bobs;25;2.39;50005
3008;Wog Wits;300;19.99;50004
3009;Barney Bits;21;23.59;50006
3010;Willie Widgits;89;12.99;50003
3011;Barge Bogs;35;2.99;50011
3012;Poggy Pogs;99;1.10;50002
3013;Pardle Pins;400;0.69;50013
3014;Piddley Wicks;54;5.19;50013
3015;Iggy Orks;22;49.95;50010
3016;Crank Cribs;888;0.29;50005
3017;Thingies;67;45.98;50008
3018;Orf Dappers;32;19.98;50018
3019;Piff Knocks;82;4.95;50002
3020;Knit Piks;66;6.75;50015
3021;Piddley Pins;370;0.25;50020
3022;Tic Tocs;87;1.36;50014
3023;Tin Wits;23;5.67;50014
3024;Thinga-ma-bobs;40;10.98;50012
3025;Fling Flobs;254;2.33;50009
3026;Barn Bins;45;88.67;50006
3027;Flap Wrappers;89;44.88;50009
3028;Pong Pangs;2345;0.10;50002
3029;Oof Tongs;345;8.49;50011
3030;Nic Nacs;238;2.99;50015
3031;Tork Tins;376;0.95;50012
3032;Lilly Larks;56;12.99;50007
3033;Minnie Morks;800;1.95;50007
3034;Cork Handles;654;2.66;50016
3035;Ding Darns;1208;0.15;50019
3036;Erk Orks;498;3.99;50017
3037;Foo Figs;234;5.89;50018
3038;Googly Eyes;756;6.99;50001
3039;Handy Pandies;321;4.35;50017
3040;Inny Outies;219;3.45;50010
